Smoke,Sex
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Pastsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Currentsmoker,Male
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Nonsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Pastsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
Currentsmoker,Female
