"Religion","Wrong"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Catholic","Never"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Almost.Always"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Sometimes"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
"Protestant","Never"
