CellPhone,EyeColor,ColorBlind,Gender,HairColor,HairLength,Wet,Lather,Rinse,YearinSchool,Age,BirthWeight(oz),Height(in),IdealHeight,IdealEyeColor,IdealHairColor,CreditHours,SchoolWork,OffCampusWork,OnCampusWork,FromIowa?,FromUS?,States,Countries,Living
I own a cell phone that is a smartphone.,Blue,No,Male,Red,Short,Toward the shower,Away from the shower,Toward the shower,Freshman,18,168,77,67,Brown,Brown,15,12,None,None,Yes,Yes,10,3,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Toward the shower,Toward the shower,Away from the shower,Senior,21,180,72,70,Blue,Blond,13,8,21 - 30 hours,None,Yes,Yes,32,0,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,180,63,72,Hazel/Green,Blond,17,12,More than 30 hours,None,Yes,Yes,33,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Other,Toward the shower,Toward the shower,Sophomore,20,181,67,72,No preference,No Preference,17,55,None,None,No,No,3,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Freshman,18,192,68,68,Blue,Blond,15,5,None,None,No,Yes,6,4,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,20,192,65,69,Hazel/Green,No Preference,15,20,None,None,No,Yes,32,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Other,Other,Other,Sophomore,20,192,64,,No preference,Grey/White,15,26,11 - 20 hours,None,No,Yes,20,2,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Other,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Other,31,196,72,66,Hazel/Green,Red,10,15,11 - 20 hours,None,Yes,Yes,30,15,Living at home with family
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,22,35,62,76,Brown,Blond,16,6,None,None,No,Yes,16,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,41,69,73,No preference,No Preference,16,12,None,11 - 20 hours,No,Yes,16,2,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,62,66,72,Blue,Blond,18,15,None,11 - 20 hours,No,Yes,28,15,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,64,71,68,No preference,No Preference,15,17,1 - 10 hours,None,No,Yes,5,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Other,Sophomore,19,65,73,68,Blue,Brown,14,20,None,None,No,Yes,10,4,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,65,65,72,Brown,Brown,14,3,None,None,Yes,Yes,14,3,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,75,65,72,Blue,Brown,19,8,None,11 - 20 hours,No,Yes,12,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,76,63,70,Blue,Blond,15,12,None,1 - 10 hours,Yes,Yes,20,3,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,78,67,74,No preference,No Preference,14,6,None,None,Yes,Yes,11,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,66,62,74,Blue,Brown,16,10,None,1 - 10 hours,No,Yes,16,3,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,20,67,67,66,No preference,No Preference,16,10,None,None,Yes,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Short,Away from the shower,Away from the shower,Away from the shower,Junior,20,67,63,72,Hazel/Green,Black,18,15,None,11 - 20 hours,No,Yes,10,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,67,69,72,Blue,Brown,16,40,None,11 - 20 hours,Yes,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,67,62,75,No preference,No Preference,13.5,12,11 - 20 hours,None,Yes,Yes,40,9,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,68,64,67,No preference,No Preference,16,10,None,None,Yes,Yes,27,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Junior,20,68,61,73,Brown,Black,16,32,None,11 - 20 hours,Yes,Yes,24,7,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Freshman,17,69,60,72,No preference,No Preference,16,6,None,None,Yes,Yes,8,11,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,70,67,69,Hazel/Green,Brown,14,7,11 - 20 hours,None,Yes,Yes,45,0,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Junior,21,72,72,64,No preference,Brown,18,10,None,11 - 20 hours,No,Yes,20,5,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Junior,20,72,71,65,Other,Brown,13,5,None,None,No,Yes,7,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,Yes,Male,Blond,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,72,73,66,Brown,Brown,15,20,None,11 - 20 hours,Yes,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Red,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,80,60,65,No preference,No Preference,18,40,None,1 - 10 hours,Yes,Yes,6,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Senior,22,80,66,65,Blue,No Preference,15,5,More than 30 hours,None,Yes,Yes,15,1,Living at home with family
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Away from the shower,Toward the shower,Toward the shower,Senior,29,80,72,65,No preference,Blond,16,30,21 - 30 hours,None,Yes,Yes,30,3,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,80,67,74,Hazel/Green,Other,12,8,1 - 10 hours,1 - 10 hours,,Yes,16,9,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Toward the shower,Away from the shower,Sophomore,20,81,74,68,No preference,Brown,14,15,None,None,No,No,4,3,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,91,65,71,No preference,No Preference,16,20,None,11 - 20 hours,Yes,Yes,18,5,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,91,67,74,Blue,Brown,16,10,None,None,No,Yes,10,5,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,21,93,68,72,Blue,Brown,17.5,15,None,None,Yes,Yes,12,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,94,64,73,Brown,Brown,15,10,1 - 10 hours,None,Yes,Yes,10,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,95,64,69,Blue,Brown,16,14,11 - 20 hours,11 - 20 hours,Yes,Yes,4,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,95,64,75,Blue,No Preference,18,10,21 - 30 hours,None,Yes,Yes,12,3,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,95,68,75,Blue,Brown,15,20,11 - 20 hours,None,Yes,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,82,68,72,Brown,Brown,13,3,None,None,Yes,Yes,25,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,82,64,73,Blue,Blond,19,35,None,1 - 10 hours,No,No,10,3,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,82,65,73,Brown,Brown,15,30,None,1 - 10 hours,Yes,Yes,37,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,20,82,61,74,Blue,Blond,14,5,None,None,Yes,Yes,11,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,83,63,71,No preference,No Preference,18,9,None,11 - 20 hours,No,Yes,12,2,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Toward the shower,Toward the shower,Junior,23,83,67,65,No preference,No Preference,17,5,None,None,Yes,Yes,45,5,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Senior,21,83,68,66,No preference,Brown,17,6,None,None,Yes,Yes,26,5,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Other,Long,Away from the shower,Toward the shower,Away from the shower,Senior,21,83,65,75,Hazel/Green,Blond,18,21,None,1 - 10 hours,No,Yes,20,7,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Toward the shower,Away from the shower,Away from the shower,Junior,20,83,68,75,Brown,Brown,18,16,None,None,No,Yes,5,11,Off-campus housing
I own a cell phone that is not a smartphone.,Hazel/Green,No,Female,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,38,84,62,72,Blue,Brown,13,10,None,None,Yes,Yes,15,0,Living at home with family
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Away from the shower,Toward the shower,Senior,25,85,63,63,Brown,Brown,10,20,None,None,Yes,Yes,10,3,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,20,86,64,70,No preference,No Preference,13,10,None,21 - 30 hours,Yes,Yes,5,3,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,86,,,No preference,Blond,16,35,1 - 10 hours,1 - 10 hours,Yes,Yes,14,1,Off-campus housing
I own a cell phone that is not a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Away from the shower,Senior,21,87,67,68,Blue,Blond,16,5,11 - 20 hours,11 - 20 hours,Yes,Yes,15,4,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,88,63,72,No preference,Brown,17,10,None,1 - 10 hours,Yes,Yes,12,6,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Other,Toward the shower,Senior,22,89,69,67,No preference,Brown,11,17,None,None,Yes,Yes,10,5,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,96,63,70,Brown,Brown,14,6,11 - 20 hours,None,Yes,Yes,9,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Medium,Toward the shower,Toward the shower,Toward the shower,Junior,21,96,69,63,No preference,Brown,14,15,11 - 20 hours,None,Yes,Yes,5,0,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,96,67,73,Hazel/Green,Black,15,6,None,1 - 10 hours,No,No,5,6,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Red,Long,Toward the shower,Toward the shower,Away from the shower,Sophomore,19,96,69,75,Hazel/Green,Brown,15,10,11 - 20 hours,None,No,Yes,9,4,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Red,Medium,Away from the shower,Away from the shower,Away from the shower,Senior,22,96,65,76,Hazel/Green,Brown,13,10,11 - 20 hours,None,Yes,Yes,5,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Blond,Short,Toward the shower,Toward the shower,Toward the shower,Junior,20,97,75,70,Hazel/Green,Brown,13,20,1 - 10 hours,None,No,Yes,15,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,97,63,71,Hazel/Green,No Preference,15,4,21 - 30 hours,None,,Yes,14,1,Living at home with family
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,97,63,74,Blue,Blond,13,3,21 - 30 hours,None,Yes,Yes,11,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Toward the shower,Away from the shower,Away from the shower,Sophomore,22,106,65,71,Brown,Black,18,30,None,1 - 10 hours,No,No,5,4,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,106,66,63,Hazel/Green,Brown,15,20,1 - 10 hours,None,Yes,Yes,18,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,107,66,70,Blue,Brown,16,4,None,None,Yes,Yes,24,5,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,107,61,63,Brown,Black,14,10,11 - 20 hours,None,Yes,Yes,2,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Toward the shower,Away from the shower,Away from the shower,Sophomore,19,107,67,67,No preference,No Preference,16,10,None,1 - 10 hours,Yes,Yes,14,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,107,63,72,Blue,Brown,16,10,11 - 20 hours,None,Yes,Yes,48,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,107,66,72,No preference,Brown,15,15,None,None,Yes,Yes,25,4,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Other,Away from the shower,Sophomore,19,107,60,73,No preference,Brown,18,25,None,None,Yes,Yes,31,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,108,66,73,No preference,Brown,13,25,None,None,Yes,Yes,12,0,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,108,62,74,Brown,Brown,14,18,None,None,No,Yes,15,4,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,108,64,74,Brown,Brown,16,25,None,None,No,Yes,13,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Other,22,109,60,67,No preference,Brown,18,12,None,None,No,Yes,27,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Junior,20,109,63,73,Blue,Black,16,8,None,None,No,Yes,35,5,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,109,62,74,Blue,No Preference,16,5,11 - 20 hours,None,Yes,Yes,13,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Freshman,18,110,66,73,No preference,No Preference,16,7,None,None,Yes,Yes,6,0,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,18,111,76,68,Brown,Brown,15,35,None,None,Yes,Yes,12,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,23,111,67,73,No preference,No Preference,14,10,11 - 20 hours,None,Yes,Yes,20,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Toward the shower,Toward the shower,Other,,98,74,64,Brown,Black,,,21 - 30 hours,21 - 30 hours,No,Yes,26,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Senior,20,98,66,66,No preference,No Preference,17,10,None,None,No,Yes,5,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,20,98,66,75,Blue,Blond,17,7,11 - 20 hours,None,Yes,Yes,15,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,18,98,68,76,Brown,Brown,17,15,None,1 - 10 hours,No,Yes,30,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Red,Long,Away from the shower,Away from the shower,Away from the shower,Freshman,18,99,63,70,No preference,Brown,14,20,None,None,Yes,Yes,17,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,21,99,62,71,Blue,Brown,13,10,,None,Yes,Yes,11,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,99,73,67,Hazel/Green,Blond,17,25,1 - 10 hours,None,No,Yes,25,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,99,61,72,No preference,Brown,14,6,None,None,Yes,Yes,7,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Toward the shower,Away from the shower,Junior,23,100,65,68,Blue,Brown,16,15,11 - 20 hours,None,No,Yes,5,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,101,63,72,No preference,No Preference,17,5,None,None,No,Yes,17,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Other,22,101,62,73,Other,Brown,12,10,1 - 10 hours,1 - 10 hours,Yes,Yes,12,4,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,101,64,73,Hazel/Green,Brown,15,20,None,None,No,Yes,10,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Toward the shower,Senior,21,101,67,74,No preference,Brown,14,22,More than 30 hours,1 - 10 hours,Yes,Yes,19,9,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,101,68,75,No preference,Brown,16,20,None,None,Yes,Yes,3,0,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Other,23,101,69,75,Brown,Brown,13.5,10,None,11 - 20 hours,Yes,Yes,44,5,Living at home with family
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,102,74,70,Blue,Brown,14,3,None,None,Yes,Yes,24,0,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Toward the shower,Away from the shower,Toward the shower,Junior,21,102,66,76,Brown,Black,17,9,11 - 20 hours,None,Yes,Yes,3,0,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,103,65,70,No preference,Brown,18,15,11 - 20 hours,None,Yes,Yes,15,10,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,19,103,63,71,Blue,Blond,14,7,None,11 - 20 hours,No,Yes,10,0,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,103,67,66,Brown,Brown,15,12,None,None,No,Yes,33,3,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,103,71,67,No preference,No Preference,15,4,None,None,Yes,Yes,20,4,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,103,62,69,No preference,No Preference,15,45,None,None,Yes,Yes,27,4,Living at home with family
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,103,65,74,Blue,Blond,16,15,None,None,No,Yes,10,5,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,103,67,75,Blue,Blond,17,10,21 - 30 hours,None,No,No,25,12,Living at home with family
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,103,62,76,Hazel/Green,Brown,14,21,None,None,Yes,Yes,16,8,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,21,104,63,70,Blue,Brown,13,,11 - 20 hours,None,Yes,Yes,9,0,On-campus housing
I own a cell phone that is not a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Other,22,104,64,70,Blue,Brown,17,10,1 - 10 hours,1 - 10 hours,Yes,Yes,48,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Blond,Short,Toward the shower,Away from the shower,Toward the shower,Senior,27,104,72,70,Blue,Brown,14,5,None,None,Yes,Yes,31,2,Living at home with family
I do not own a cell phone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,104,76,70,Hazel/Green,Red,16,8,None,None,Yes,Yes,12,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Blond,Short,Toward the shower,Toward the shower,Toward the shower,Junior,20,104,71,63,No preference,Brown,13,12,11 - 20 hours,1 - 10 hours,Yes,Yes,12,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Senior,22,104,67,64,Brown,No Preference,17,9,11 - 20 hours,1 - 10 hours,No,Yes,17,5,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,104,72,65,No preference,Brown,14,20,None,None,Yes,Yes,5,1,Off-campus housing
