Afterlife,Gender,Race
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
No,Male,White
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Yes,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
Undecided,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
No,Female,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Yes,Male,Black
Undecided,Male,Black
Undecided,Male,Black
Undecided,Male,Black
Undecided,Male,Black
Undecided,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
No,Male,Black
